11-28 01:17:15: Training starting...
Episode 0: Reward: 22.00, Epsilon: 0.9950, k: 6.0000, Noise Penalty Scale: 0.1000
Episode 1: Reward: 17.00, Epsilon: 0.9900, k: 0.0000, Noise Penalty Scale: 0.1000
Episode 2: Reward: 10.00, Epsilon: 0.9851, k: 0.0000, Noise Penalty Scale: 0.1000
Episode 3: Reward: 27.00, Epsilon: 0.9801, k: 6.0000, Noise Penalty Scale: 0.1000
Episode 4: Reward: 32.00, Epsilon: 0.9752, k: 6.0000, Noise Penalty Scale: 0.1000
Episode 5: Reward: 10.00, Epsilon: 0.9704, k: 0.0000, Noise Penalty Scale: 0.1000
Episode 6: Reward: 31.00, Epsilon: 0.9655, k: 5.7273, Noise Penalty Scale: 0.1000
Episode 7: Reward: 18.00, Epsilon: 0.9607, k: 2.1818, Noise Penalty Scale: 0.1000
Episode 8: Reward: 21.00, Epsilon: 0.9559, k: 3.0000, Noise Penalty Scale: 0.1000
Episode 9: Reward: 13.00, Epsilon: 0.9511, k: 0.8182, Noise Penalty Scale: 0.1000
Episode 10: Reward: 11.00, Epsilon: 0.9464, k: 0.2727, Noise Penalty Scale: 0.1000
Episode 11: Reward: 15.00, Epsilon: 0.9416, k: 1.3636, Noise Penalty Scale: 0.1000
Episode 12: Reward: 17.00, Epsilon: 0.9369, k: 1.9091, Noise Penalty Scale: 0.1000
Episode 13: Reward: 17.00, Epsilon: 0.9322, k: 1.9091, Noise Penalty Scale: 0.1000
Episode 14: Reward: 24.00, Epsilon: 0.9276, k: 3.8182, Noise Penalty Scale: 0.1000
Episode 15: Reward: 28.00, Epsilon: 0.9229, k: 4.9091, Noise Penalty Scale: 0.1000
Episode 16: Reward: 10.00, Epsilon: 0.9183, k: 0.0000, Noise Penalty Scale: 0.1000
Episode 17: Reward: 20.00, Epsilon: 0.9137, k: 2.7273, Noise Penalty Scale: 0.1000
Episode 18: Reward: 14.00, Epsilon: 0.9092, k: 1.0909, Noise Penalty Scale: 0.1000
Episode 19: Reward: 35.00, Epsilon: 0.9046, k: 6.0000, Noise Penalty Scale: 0.1000
Episode 20: Reward: 16.00, Epsilon: 0.9001, k: 1.4400, Noise Penalty Scale: 0.1000
Episode 21: Reward: 24.00, Epsilon: 0.8956, k: 3.3600, Noise Penalty Scale: 0.1000
Episode 22: Reward: 16.00, Epsilon: 0.8911, k: 1.4400, Noise Penalty Scale: 0.1000
Episode 23: Reward: 24.00, Epsilon: 0.8867, k: 3.3600, Noise Penalty Scale: 0.1000
Episode 24: Reward: 17.00, Epsilon: 0.8822, k: 1.6800, Noise Penalty Scale: 0.1000
Episode 25: Reward: 9.00, Epsilon: 0.8778, k: 0.0000, Noise Penalty Scale: 0.1000
Episode 26: Reward: 17.00, Epsilon: 0.8734, k: 1.8462, Noise Penalty Scale: 0.1000
Episode 27: Reward: 16.00, Epsilon: 0.8691, k: 1.6154, Noise Penalty Scale: 0.1000
Episode 28: Reward: 31.00, Epsilon: 0.8647, k: 5.0769, Noise Penalty Scale: 0.1000
Episode 29: Reward: 14.00, Epsilon: 0.8604, k: 1.1538, Noise Penalty Scale: 0.1000
Episode 30: Reward: 18.00, Epsilon: 0.8561, k: 2.0769, Noise Penalty Scale: 0.1000
Episode 31: Reward: 29.00, Epsilon: 0.8518, k: 4.6154, Noise Penalty Scale: 0.1000
Episode 32: Reward: 54.00, Epsilon: 0.8475, k: 6.0000, Noise Penalty Scale: 0.1000
Episode 33: Reward: 8.00, Epsilon: 0.8433, k: 0.0000, Noise Penalty Scale: 0.1000
Episode 34: Reward: 18.00, Epsilon: 0.8391, k: 1.3043, Noise Penalty Scale: 0.1000
Episode 35: Reward: 13.00, Epsilon: 0.8349, k: 0.6522, Noise Penalty Scale: 0.1000
