11-28 18:08:29: Training starting...
Episode 0: Reward: 20.00, Epsilon: 0.9950, k: 1.3000, Min Reward: 20.00, Max Reward: 20.00, Noise Penalty Scale: 0.1000
Episode 1: Reward: 12.00, Epsilon: 0.9900, k: 1.1700, Min Reward: 12.00, Max Reward: 20.00, Noise Penalty Scale: 0.1000
Episode 2: Reward: 13.00, Epsilon: 0.9851, k: 1.1030, Min Reward: 12.00, Max Reward: 20.00, Noise Penalty Scale: 0.1000
Episode 3: Reward: 50.00, Epsilon: 0.9801, k: 1.3927, Min Reward: 12.00, Max Reward: 50.00, Noise Penalty Scale: 0.1000
Episode 4: Reward: 14.00, Epsilon: 0.9752, k: 1.2745, Min Reward: 12.00, Max Reward: 50.00, Noise Penalty Scale: 0.1000
Episode 5: Reward: 13.00, Epsilon: 0.9704, k: 1.1576, Min Reward: 12.00, Max Reward: 50.00, Noise Penalty Scale: 0.1000
Episode 6: Reward: 17.00, Epsilon: 0.9655, k: 1.0944, Min Reward: 12.00, Max Reward: 50.00, Noise Penalty Scale: 0.1000
Episode 7: Reward: 38.00, Epsilon: 0.9607, k: 1.2587, Min Reward: 12.00, Max Reward: 50.00, Noise Penalty Scale: 0.1000
Episode 8: Reward: 54.00, Epsilon: 0.9559, k: 1.5328, Min Reward: 12.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 9: Reward: 24.00, Epsilon: 0.9511, k: 1.4938, Min Reward: 12.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 10: Reward: 21.00, Epsilon: 0.9464, k: 1.4301, Min Reward: 12.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 11: Reward: 18.00, Epsilon: 0.9416, k: 1.3443, Min Reward: 12.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 12: Reward: 16.00, Epsilon: 0.9369, k: 1.2479, Min Reward: 12.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 13: Reward: 31.00, Epsilon: 0.9322, k: 1.3041, Min Reward: 12.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 14: Reward: 24.00, Epsilon: 0.9276, k: 1.2880, Min Reward: 12.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 15: Reward: 33.00, Epsilon: 0.9229, k: 1.3592, Min Reward: 12.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 16: Reward: 16.00, Epsilon: 0.9183, k: 1.2614, Min Reward: 12.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 17: Reward: 22.00, Epsilon: 0.9137, k: 1.2305, Min Reward: 12.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 18: Reward: 12.00, Epsilon: 0.9092, k: 1.1074, Min Reward: 12.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 19: Reward: 10.00, Epsilon: 0.9046, k: 0.9967, Min Reward: 10.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 20: Reward: 27.00, Epsilon: 0.9001, k: 1.0515, Min Reward: 10.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 21: Reward: 24.00, Epsilon: 0.8956, k: 1.0737, Min Reward: 10.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 22: Reward: 12.00, Epsilon: 0.8911, k: 0.9845, Min Reward: 10.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 23: Reward: 8.00, Epsilon: 0.8867, k: 0.8860, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 24: Reward: 11.00, Epsilon: 0.8822, k: 0.8235, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 25: Reward: 22.00, Epsilon: 0.8778, k: 0.8629, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 26: Reward: 11.00, Epsilon: 0.8734, k: 0.8027, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 27: Reward: 11.00, Epsilon: 0.8691, k: 0.7485, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 28: Reward: 53.00, Epsilon: 0.8647, k: 1.0650, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 29: Reward: 18.00, Epsilon: 0.8604, k: 1.0454, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 30: Reward: 42.00, Epsilon: 0.8561, k: 1.2365, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 31: Reward: 16.00, Epsilon: 0.8518, k: 1.1825, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 32: Reward: 12.00, Epsilon: 0.8475, k: 1.0990, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 33: Reward: 37.00, Epsilon: 0.8433, k: 1.2413, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 34: Reward: 13.00, Epsilon: 0.8391, k: 1.1606, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 35: Reward: 42.00, Epsilon: 0.8349, k: 1.3402, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 36: Reward: 12.00, Epsilon: 0.8307, k: 1.2410, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 37: Reward: 19.00, Epsilon: 0.8266, k: 1.2125, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 38: Reward: 14.00, Epsilon: 0.8224, k: 1.1434, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 39: Reward: 11.00, Epsilon: 0.8183, k: 1.0552, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 40: Reward: 15.00, Epsilon: 0.8142, k: 1.0105, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 41: Reward: 20.00, Epsilon: 0.8102, k: 1.0138, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 42: Reward: 14.00, Epsilon: 0.8061, k: 0.9646, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 43: Reward: 12.00, Epsilon: 0.8021, k: 0.9029, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 44: Reward: 14.00, Epsilon: 0.7981, k: 0.8648, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 45: Reward: 19.00, Epsilon: 0.7941, k: 0.8740, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 46: Reward: 44.00, Epsilon: 0.7901, k: 1.0996, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 47: Reward: 18.00, Epsilon: 0.7862, k: 1.0766, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 48: Reward: 28.00, Epsilon: 0.7822, k: 1.1429, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 49: Reward: 14.00, Epsilon: 0.7783, k: 1.0808, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 50: Reward: 13.00, Epsilon: 0.7744, k: 1.0162, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
