Episode,Step,Reward,D Value,TD Error,K Value
0,38,38.0,True,1.7155225276947021,0.304
1,10,10.0,True,3.6337344646453857,0.08
2,8,8.0,True,5.98190450668335,0.064
3,12,12.0,True,3.827181100845337,0.096
4,26,26.0,True,1.297797679901123,0.208
5,15,15.0,True,2.1218559741973877,0.12
6,10,10.0,True,5.783531665802002,0.08
7,18,18.0,True,1.4872963428497314,0.144
8,13,13.0,True,0.234304279088974,0.104
9,12,12.0,True,1.1108574867248535,0.096
10,15,15.0,True,0.5186734199523926,0.12
11,21,21.0,True,1.3615679740905762,0.168
12,16,16.0,True,1.4151722192764282,0.128
13,10,10.0,True,3.9386653900146484,0.08
14,12,12.0,True,1.1794984340667725,0.096
15,26,26.0,True,2.0953803062438965,0.208
16,35,35.0,True,0.33867713809013367,0.28
17,12,12.0,True,0.8715409636497498,0.096
18,10,10.0,True,1.1270734071731567,0.08
19,10,10.0,True,1.874737024307251,0.08
20,40,40.0,True,1.6486608982086182,0.32
21,13,13.0,True,0.47513413429260254,0.104
22,10,10.0,True,0.9698140621185303,0.08
23,14,14.0,True,0.4777882695198059,0.112
24,58,58.0,True,0.45033231377601624,0.464
25,10,10.0,True,0.7400593757629395,0.08
26,88,88.0,True,0.4706524610519409,0.704
27,8,8.0,True,0.4918535351753235,0.064
28,20,20.0,True,1.5572068691253662,0.16
29,81,81.0,True,1.0278724431991577,0.648
30,12,12.0,True,0.6918803453445435,0.096
31,18,18.0,True,0.26039060950279236,0.144
32,145,145.0,True,0.6378547549247742,1.16
33,19,19.0,True,2.317615032196045,0.152
34,9,9.0,True,0.23895163834095,0.072
35,9,9.0,True,0.34352636337280273,0.072
36,58,58.0,True,0.17940473556518555,0.464
37,12,12.0,True,0.3253428339958191,0.096
38,13,13.0,True,1.4277008771896362,0.104
39,10,10.0,True,0.9981279373168945,0.08
40,51,51.0,True,0.30713123083114624,0.408
41,10,10.0,True,0.3101586103439331,0.08
42,10,10.0,True,0.4463900327682495,0.08
43,12,12.0,True,0.24948865175247192,0.096
44,10,10.0,True,0.6386385560035706,0.08
45,14,14.0,True,0.2669751048088074,0.112
46,10,10.0,True,0.5986967086791992,0.08
47,10,10.0,True,0.555687427520752,0.08
48,10,10.0,True,1.0882987976074219,0.08
49,23,23.0,True,0.6872370839118958,0.184
