11-28 10:10:29: Training starting...
Episode 0: Reward: 20.00, Epsilon: 0.9950, k: 4.0000, Noise Penalty Scale: 0.1000
Episode 1: Reward: 23.00, Epsilon: 0.9900, k: 30.6667, Noise Penalty Scale: 0.1000
Episode 2: Reward: 25.00, Epsilon: 0.9851, k: 38.4000, Noise Penalty Scale: 0.1000
Episode 3: Reward: 30.00, Epsilon: 0.9801, k: 31.2000, Noise Penalty Scale: 0.1000
Episode 4: Reward: 27.00, Epsilon: 0.9752, k: 42.0000, Noise Penalty Scale: 0.1000
Episode 5: Reward: 20.00, Epsilon: 0.9704, k: 50.0000, Noise Penalty Scale: 0.1000
Episode 6: Reward: 23.00, Epsilon: 0.9655, k: 59.2000, Noise Penalty Scale: 0.1000
Episode 7: Reward: 23.00, Epsilon: 0.9607, k: 68.4000, Noise Penalty Scale: 0.1000
Episode 8: Reward: 11.00, Epsilon: 0.9559, k: 40.2105, Noise Penalty Scale: 0.1000
Episode 9: Reward: 19.00, Epsilon: 0.9511, k: 44.2105, Noise Penalty Scale: 0.1000
Episode 10: Reward: 45.00, Epsilon: 0.9464, k: 30.0000, Noise Penalty Scale: 0.1000
Episode 11: Reward: 28.00, Epsilon: 0.9416, k: 33.2941, Noise Penalty Scale: 0.1000
Episode 12: Reward: 12.00, Epsilon: 0.9369, k: 34.7059, Noise Penalty Scale: 0.1000
Episode 13: Reward: 32.00, Epsilon: 0.9322, k: 38.4706, Noise Penalty Scale: 0.1000
Episode 14: Reward: 41.00, Epsilon: 0.9276, k: 43.2941, Noise Penalty Scale: 0.1000
Episode 15: Reward: 20.00, Epsilon: 0.9229, k: 45.6471, Noise Penalty Scale: 0.1000
Episode 16: Reward: 16.00, Epsilon: 0.9183, k: 47.5294, Noise Penalty Scale: 0.1000
Episode 17: Reward: 15.00, Epsilon: 0.9137, k: 49.2941, Noise Penalty Scale: 0.1000
Episode 18: Reward: 26.00, Epsilon: 0.9092, k: 52.3529, Noise Penalty Scale: 0.1000
Episode 19: Reward: 23.00, Epsilon: 0.9046, k: 55.0588, Noise Penalty Scale: 0.1000
Episode 20: Reward: 16.00, Epsilon: 0.9001, k: 56.9412, Noise Penalty Scale: 0.1000
Episode 21: Reward: 20.00, Epsilon: 0.8956, k: 59.2941, Noise Penalty Scale: 0.1000
Episode 22: Reward: 22.00, Epsilon: 0.8911, k: 61.8824, Noise Penalty Scale: 0.1000
Episode 23: Reward: 13.00, Epsilon: 0.8867, k: 63.4118, Noise Penalty Scale: 0.1000
Episode 24: Reward: 12.00, Epsilon: 0.8822, k: 64.8235, Noise Penalty Scale: 0.1000
Episode 25: Reward: 10.00, Epsilon: 0.8778, k: 64.2286, Noise Penalty Scale: 0.1000
Episode 26: Reward: 17.00, Epsilon: 0.8734, k: 66.1714, Noise Penalty Scale: 0.1000
Episode 27: Reward: 59.00, Epsilon: 0.8691, k: 52.0816, Noise Penalty Scale: 0.1000
Episode 28: Reward: 50.00, Epsilon: 0.8647, k: 56.1633, Noise Penalty Scale: 0.1000
Episode 29: Reward: 63.00, Epsilon: 0.8604, k: 56.6792, Noise Penalty Scale: 0.1000
Episode 30: Reward: 50.00, Epsilon: 0.8561, k: 60.4528, Noise Penalty Scale: 0.1000
Episode 31: Reward: 20.00, Epsilon: 0.8518, k: 61.9623, Noise Penalty Scale: 0.1000
