11-28 15:54:19: Training starting...
Episode 0: Reward: 12.00, Epsilon: 0.9950, k: 1.3000, Min Reward: 12.00, Max Reward: 12.00, Noise Penalty Scale: 0.1000
Episode 1: Reward: 18.00, Epsilon: 0.9900, k: 1.5700, Min Reward: 12.00, Max Reward: 18.00, Noise Penalty Scale: 0.1000
Episode 2: Reward: 15.00, Epsilon: 0.9851, k: 1.6130, Min Reward: 12.00, Max Reward: 18.00, Noise Penalty Scale: 0.1000
Episode 3: Reward: 28.00, Epsilon: 0.9801, k: 1.8517, Min Reward: 12.00, Max Reward: 28.00, Noise Penalty Scale: 0.1000
Episode 4: Reward: 26.00, Epsilon: 0.9752, k: 2.0165, Min Reward: 12.00, Max Reward: 28.00, Noise Penalty Scale: 0.1000
Episode 5: Reward: 12.00, Epsilon: 0.9704, k: 1.8149, Min Reward: 12.00, Max Reward: 28.00, Noise Penalty Scale: 0.1000
Episode 6: Reward: 41.00, Epsilon: 0.9655, k: 2.0334, Min Reward: 12.00, Max Reward: 41.00, Noise Penalty Scale: 0.1000
Episode 7: Reward: 20.00, Epsilon: 0.9607, k: 1.9404, Min Reward: 12.00, Max Reward: 41.00, Noise Penalty Scale: 0.1000
Episode 8: Reward: 10.00, Epsilon: 0.9559, k: 1.7464, Min Reward: 10.00, Max Reward: 41.00, Noise Penalty Scale: 0.1000
Episode 9: Reward: 23.00, Epsilon: 0.9511, k: 1.7395, Min Reward: 10.00, Max Reward: 41.00, Noise Penalty Scale: 0.1000
Episode 10: Reward: 31.00, Epsilon: 0.9464, k: 1.8365, Min Reward: 10.00, Max Reward: 41.00, Noise Penalty Scale: 0.1000
Episode 11: Reward: 23.00, Epsilon: 0.9416, k: 1.8206, Min Reward: 10.00, Max Reward: 41.00, Noise Penalty Scale: 0.1000
Episode 12: Reward: 33.00, Epsilon: 0.9369, k: 1.9353, Min Reward: 10.00, Max Reward: 41.00, Noise Penalty Scale: 0.1000
Episode 13: Reward: 30.00, Epsilon: 0.9322, k: 1.9998, Min Reward: 10.00, Max Reward: 41.00, Noise Penalty Scale: 0.1000
Episode 14: Reward: 28.00, Epsilon: 0.9276, k: 2.0321, Min Reward: 10.00, Max Reward: 41.00, Noise Penalty Scale: 0.1000
Episode 15: Reward: 28.00, Epsilon: 0.9229, k: 2.0612, Min Reward: 10.00, Max Reward: 41.00, Noise Penalty Scale: 0.1000
Episode 16: Reward: 47.00, Epsilon: 0.9183, k: 2.2550, Min Reward: 10.00, Max Reward: 47.00, Noise Penalty Scale: 0.1000
Episode 17: Reward: 13.00, Epsilon: 0.9137, k: 2.0620, Min Reward: 10.00, Max Reward: 47.00, Noise Penalty Scale: 0.1000
Episode 18: Reward: 17.00, Epsilon: 0.9092, k: 1.9314, Min Reward: 10.00, Max Reward: 47.00, Noise Penalty Scale: 0.1000
Episode 19: Reward: 13.00, Epsilon: 0.9046, k: 1.7707, Min Reward: 10.00, Max Reward: 47.00, Noise Penalty Scale: 0.1000
Episode 20: Reward: 15.00, Epsilon: 0.9001, k: 1.6477, Min Reward: 10.00, Max Reward: 47.00, Noise Penalty Scale: 0.1000
Episode 21: Reward: 31.00, Epsilon: 0.8956, k: 1.7100, Min Reward: 10.00, Max Reward: 47.00, Noise Penalty Scale: 0.1000
Episode 22: Reward: 65.00, Epsilon: 0.8911, k: 1.9390, Min Reward: 10.00, Max Reward: 65.00, Noise Penalty Scale: 0.1000
Episode 23: Reward: 18.00, Epsilon: 0.8867, k: 1.8033, Min Reward: 10.00, Max Reward: 65.00, Noise Penalty Scale: 0.1000
Episode 24: Reward: 12.00, Epsilon: 0.8822, k: 1.6375, Min Reward: 10.00, Max Reward: 65.00, Noise Penalty Scale: 0.1000
Episode 25: Reward: 29.00, Epsilon: 0.8778, k: 1.6119, Min Reward: 10.00, Max Reward: 65.00, Noise Penalty Scale: 0.1000
Episode 26: Reward: 26.00, Epsilon: 0.8734, k: 1.5671, Min Reward: 10.00, Max Reward: 65.00, Noise Penalty Scale: 0.1000
Episode 27: Reward: 26.00, Epsilon: 0.8691, k: 1.5267, Min Reward: 10.00, Max Reward: 65.00, Noise Penalty Scale: 0.1000
Episode 28: Reward: 17.00, Epsilon: 0.8647, k: 1.4250, Min Reward: 10.00, Max Reward: 65.00, Noise Penalty Scale: 0.1000
Episode 29: Reward: 22.00, Epsilon: 0.8604, k: 1.3697, Min Reward: 10.00, Max Reward: 65.00, Noise Penalty Scale: 0.1000
Episode 30: Reward: 12.00, Epsilon: 0.8561, k: 1.2473, Min Reward: 10.00, Max Reward: 65.00, Noise Penalty Scale: 0.1000
Episode 31: Reward: 15.00, Epsilon: 0.8518, k: 1.1590, Min Reward: 10.00, Max Reward: 65.00, Noise Penalty Scale: 0.1000
Episode 32: Reward: 81.00, Epsilon: 0.8475, k: 1.4431, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 33: Reward: 47.00, Epsilon: 0.8433, k: 1.5072, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 34: Reward: 17.00, Epsilon: 0.8391, k: 1.3959, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 35: Reward: 27.00, Epsilon: 0.8349, k: 1.3521, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 36: Reward: 50.00, Epsilon: 0.8307, k: 1.4422, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 37: Reward: 15.00, Epsilon: 0.8266, k: 1.3262, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 38: Reward: 17.00, Epsilon: 0.8224, k: 1.2330, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 39: Reward: 11.00, Epsilon: 0.8183, k: 1.1153, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 40: Reward: 14.00, Epsilon: 0.8142, k: 1.0263, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 41: Reward: 18.00, Epsilon: 0.8102, k: 0.9688, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 42: Reward: 30.00, Epsilon: 0.8061, k: 0.9846, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 43: Reward: 12.00, Epsilon: 0.8021, k: 0.8974, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 44: Reward: 41.00, Epsilon: 0.7981, k: 0.9823, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 45: Reward: 33.00, Epsilon: 0.7941, k: 1.0136, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 46: Reward: 15.00, Epsilon: 0.7901, k: 0.9404, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 47: Reward: 23.00, Epsilon: 0.7862, k: 0.9196, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 48: Reward: 17.00, Epsilon: 0.7822, k: 0.8671, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 49: Reward: 26.00, Epsilon: 0.7783, k: 0.8705, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 50: Reward: 17.00, Epsilon: 0.7744, k: 0.8229, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 51: Reward: 15.00, Epsilon: 0.7705, k: 0.7688, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 52: Reward: 22.00, Epsilon: 0.7667, k: 0.7595, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 53: Reward: 24.00, Epsilon: 0.7629, k: 0.7624, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
