11-28 14:24:57: Training starting...
Episode 0: Reward: 48.00, Epsilon: 0.9950, k: 4.0000, Noise Penalty Scale: 0.1000
Episode 1: Reward: 17.00, Epsilon: 0.9900, k: 6.1935, Noise Penalty Scale: 0.1000
Episode 2: Reward: 32.00, Epsilon: 0.9851, k: 10.3226, Noise Penalty Scale: 0.1000
Episode 3: Reward: 10.00, Epsilon: 0.9801, k: 10.2105, Noise Penalty Scale: 0.1000
Episode 4: Reward: 13.00, Epsilon: 0.9752, k: 11.5789, Noise Penalty Scale: 0.1000
Episode 5: Reward: 26.00, Epsilon: 0.9704, k: 14.3158, Noise Penalty Scale: 0.1000
Episode 6: Reward: 36.00, Epsilon: 0.9655, k: 18.1053, Noise Penalty Scale: 0.1000
Episode 7: Reward: 69.00, Epsilon: 0.9607, k: 16.3390, Noise Penalty Scale: 0.1000
Episode 8: Reward: 12.00, Epsilon: 0.9559, k: 17.1525, Noise Penalty Scale: 0.1000
Episode 9: Reward: 13.00, Epsilon: 0.9511, k: 18.0339, Noise Penalty Scale: 0.1000
Episode 10: Reward: 9.00, Epsilon: 0.9464, k: 18.4000, Noise Penalty Scale: 0.1000
Episode 11: Reward: 43.00, Epsilon: 0.9416, k: 21.2667, Noise Penalty Scale: 0.1000
Episode 12: Reward: 31.00, Epsilon: 0.9369, k: 23.3333, Noise Penalty Scale: 0.1000
Episode 13: Reward: 23.00, Epsilon: 0.9322, k: 24.8667, Noise Penalty Scale: 0.1000
Episode 14: Reward: 39.00, Epsilon: 0.9276, k: 27.4667, Noise Penalty Scale: 0.1000
Episode 15: Reward: 29.00, Epsilon: 0.9229, k: 29.4000, Noise Penalty Scale: 0.1000
Episode 16: Reward: 30.00, Epsilon: 0.9183, k: 31.4000, Noise Penalty Scale: 0.1000
Episode 17: Reward: 22.00, Epsilon: 0.9137, k: 32.8667, Noise Penalty Scale: 0.1000
Episode 18: Reward: 16.00, Epsilon: 0.9092, k: 33.9333, Noise Penalty Scale: 0.1000
Episode 19: Reward: 34.00, Epsilon: 0.9046, k: 36.2000, Noise Penalty Scale: 0.1000
Episode 20: Reward: 16.00, Epsilon: 0.9001, k: 37.2667, Noise Penalty Scale: 0.1000
Episode 21: Reward: 50.00, Epsilon: 0.8956, k: 40.6000, Noise Penalty Scale: 0.1000
Episode 22: Reward: 15.00, Epsilon: 0.8911, k: 41.6000, Noise Penalty Scale: 0.1000
Episode 23: Reward: 46.00, Epsilon: 0.8867, k: 44.6667, Noise Penalty Scale: 0.1000
Episode 24: Reward: 24.00, Epsilon: 0.8822, k: 46.2667, Noise Penalty Scale: 0.1000
Episode 25: Reward: 25.00, Epsilon: 0.8778, k: 47.9333, Noise Penalty Scale: 0.1000
Episode 26: Reward: 13.00, Epsilon: 0.8734, k: 48.8000, Noise Penalty Scale: 0.1000
Episode 27: Reward: 14.00, Epsilon: 0.8691, k: 49.7333, Noise Penalty Scale: 0.1000
Episode 28: Reward: 42.00, Epsilon: 0.8647, k: 52.5333, Noise Penalty Scale: 0.1000
Episode 29: Reward: 24.00, Epsilon: 0.8604, k: 54.1333, Noise Penalty Scale: 0.1000
Episode 30: Reward: 18.00, Epsilon: 0.8561, k: 55.3333, Noise Penalty Scale: 0.1000
Episode 31: Reward: 22.00, Epsilon: 0.8518, k: 56.8000, Noise Penalty Scale: 0.1000
