11-25 22:27:40: Training starting...
11-25 22:27:42: New best reward 42.0 at episode 0, saving model...
11-25 22:27:42: New best reward 84.0 at episode 4, saving model...
11-25 22:27:49: New best reward 88.0 at episode 2225, saving model...
11-25 22:27:49: New best reward 91.0 at episode 2435, saving model...
11-25 22:27:50: New best reward 144.0 at episode 2466, saving model...
11-25 22:27:50: New best reward 150.0 at episode 2508, saving model...
11-25 22:27:53: New best reward 153.0 at episode 2888, saving model...
11-25 22:27:53: New best reward 174.0 at episode 2893, saving model...
11-25 22:27:53: New best reward 311.0 at episode 2916, saving model...
11-25 22:27:54: New best reward 320.0 at episode 2975, saving model...
11-25 22:27:59: New best reward 512.0 at episode 3800, saving model...
11-25 22:28:05: New best reward 617.0 at episode 4700, saving model...
11-25 22:28:05: New best reward 809.0 at episode 4732, saving model...
11-25 22:28:30: New best reward 855.0 at episode 7716, saving model...
11-25 22:28:35: New best reward 1024.0 at episode 8222, saving model...
